evento,probabilidad_pct,tipo
España gana en 90 minutos,36.481,No condicionada
Empate tras 90 minutos,28.889,Activa prórroga
Francia gana en 90 minutos,34.630,No condicionada
España gana en prórroga,6.375,Sobre las 100.000 simulaciones
Francia gana en prórroga,5.963,Sobre las 100.000 simulaciones
El partido llega a penaltis,16.551,Sobre las 100.000 simulaciones
España gana la tanda,8.236,Sobre las 100.000 simulaciones
España se clasifica,51.092,90' + prórroga + penaltis
Francia se clasifica,48.908,90' + prórroga + penaltis
España pasa + Lamine participa en gol,30.763,Evento player_event_v1
Francia pasa + Mbappé marca,30.868,Evento player_event_v1
Tormenta eléctrica exterior,17.898,"Proxy meteorológico, no afecta al motor"
Interrupción por rayos,0.808,Proxy con cubierta retráctil
Trump + Infantino + sanción a Lamine,0.001,"Evento satírico, excluido del modelo"
'Final anticipada' se menciona >5 veces,36.959,Evento editorial satírico
